"Bambora Checkout","Bambora Checkout"
"Transaction ID:","Maksutunnus:"
"Amount:,"Summa:"
"An error occured","Tapahtui virhe"
"Currency code:","Valuutta:"
"Transaction date:","Maksupäivä:"
"Card type:","Kortin tyyppi:"
"Card number:","Kortin numero:"
"Transaction fee:","Komissio:"
"Captured:","Veloitettu:"
"Refunded:","Hyvitetty:"
"Go to the Bambora administration to handle your transactions","Kirjautukaa Bambora-hallintaliittymään tarkastellaksenne maksuja"
"You have chosen to pay for the order using Bambora Checkout.","Maksutavaksi on valittu Bambora Checkout."
"The shop accepts the following payment types","Kauppa hyväksyy seuraavat maksutavat"
"Bambora Transaction ID","Bambora maksutunnus"
"An error occured. Please contact the shop owner","Tapahtui virhe. Ottakaa yhteyttä kauppiaaseen"
"No transaction was not found","Maksua ei löytynyt"
"Thank you for using Bambora Checkout","Kiitos kun käytitte Bambora Checkout -palvelua"
"Please wait...","Odottakaa..."
"<b>Enabled:</b>","<b>Käytössä:</b>"
"To enable and disable this payment method.","Maksutapa käyttöön tai pois käytöstä."
"<b>Title:</b>","<b>Nimi:</b>"
"The title of the payment method displayed to the customers.","Asiakkaille näytettävä maksutavan nimi."
"<b>Merchant number:</b>","<b>Kauppiasnumero:</b>"
"<b>Access token:</b>","<b>Käyttötunnus:</b>"
"<b>Secret token:</b>","<b>Salainen tunnus:</b>"
"<b>MD5 Key:</b>","<b>MD5-avain:</b>"
"<b>Window ID:</b>","<b>Ikkunatunnus:</b>"
"<b>Instant capture:</b>","<b>Automaattinen veloitus:</b>"
"<b>Windows state:</b>","<b>Ikkunan tila:</b>"
"Set to <b>Overlay</b> for the Payment Window to open as a overlayed window on top of the store. The store will be visible behind the payment window. Set to <b>Full Screen</b> to open the payment window in the same window but in full-screen. The store will not be visible in this setting.","Valitkaa <b>Overlay</b> mikäli haluatte maksusivun avautuvan kaupan sivun päälle. Kaupan sivu jää näkyville taustalle. Valitkaa <b>Full Screen</b> mikäli haluatte avata maksusivun samaan ikkunaan. Asiakas ohjataan takaisin kaupan sivulle maksamisen jälkeen."
"<b>Immediate Redirect</b>","<b>Välitön uudelleenohjaus</b>"
"Set to <b>Yes</b> to immediately redirect your customer back to you shop after the payment completed.","Valitkaa <b>Yes</b> mikäli haluatte asiakkaan ohjattavan takaisin kauppaan heti maksamisen jälkeen."
"If the customer pays for the payment fee the amount will not be displayed on the order confirmation. However it is possible to add the amount to the shipping and handling amount displayed at the bottom of the order confirmation.","Mikäli asiakas maksaa komission osuuden, summaa ei näytetä tilausvahvistuksessa. Summa on kuitenkin mahdollista lisätä toimituskuluihin, joka näytetään tilausvahvistuksen alareunassa."
"<b>Send Email Order Confirmation:</b>","<b>Lähetä tilausvahvistus sähköpostilla:</b>"
"Enabling this setting will result in an order confirmation is e-mailed to the customer as the payment is made.","Tilausvahvistus lähetetään sähköpostitse asiakkaalle maksamisen yhteydessä."
"<b>Sort order:</b>",<b>Järjestys:</b>
"The order of which this payment method is displayed to the customer.","Tämän maksutavan asiakkaalle näyttämisen järjestysnumero."
"<b>Add payment fee to the shipping and handling amount:</b>","<b>Lisää komissio toimituskulujen summaan:</b>"
"Detailed description of these settings are to be found <a href='http://dev.bambora.com/carts.html#magento' target='_blank'>here</a>.<br><br>","Tarkempi kuvaus näistä asetuksista on nähtävissä <a href='http://dev.bambora.com/carts.html#magento' target='_blank'>täällä</a>.<br><br>"
"The Access token for the API user received from the Bambora administration. If you don't know your Access token please <a href='https://merchant.bambora.com' target='_blank'>log into your Bambora account.</a> Go to <b>Settings -> API users</b> to view or create a new API user.","Bamboralta vastaanotettu käyttötunnus API-käyttäjää varten. Käyttötunnuksen saatte katsottua <a href='https://merchant.bambora.com' target='_blank'>kirjautumalla Bambora-tilillenne.</a> Valitkaa <b>Asetukset -> API-käyttäjät</b> selataksenne tai luodaksenne uusia API-käyttäjiä."
"The ID of the payment window to use. You can find the available payment windows in the Bambora administration. Please <a href='https://merchant.bambora.com' target='_blank'>log into your Bambora account</a> and go to <b>Settings -> Payment windows.</b>","Käytettävän maksuikkunan tunnus. Löydätte käytettävissä olevat maksuikkunat Bambora-palvelusta. <a href='https://merchant.bambora.com' target='_blank'>kirjautukaa Bambora-tilille</a> ja valitkaa <b>Asetukset -> Maksuikkunat.</b>"
"The Secret token for the API user received from the Bambora administration. The Secret token is only displayed to you when you create a new API user and as such you should take note of it. If you have lost your Secret token&#44; <a href='https://merchant.bambora.com' target='_blank'>log into your Bambora account</a> and create a new API user. Go to <b>Settings -> API users -> Create API users</b>","Bamboralta vastaanotettu API-käyttäjän salainen tunnus. Salainen tunnus näytetään vain uutta API-käyttäjää luotaessa, jolloin tunnus tulee kirjata muistiin. Mikäli salainen tunnus on kadonnut&#44; <a href='https://merchant.bambora.com' target='_blank'>kirjautukaa Bambora-tilillenne</a> ja luokaa uusi API-käyttäjä. Valitkaa <b>Asetukset -> API-käyttäjät -> Luo API-käyttäjiä</b>"
"The MD5 key is used to stamp data sent between Magento and Bambora to prevent it from being tampered with. The MD5 key is optional but if used here&#44; must be the same as in the Bambora administration. To view your MD5 key please <a href='https://merchant.bambora.com' target='_blank'>log into your Bambora account</a> and go to <b>Settings -> Merchant numbers -> Edit</b>","MD5-avainta käytetään Magenton ja Bamboran välisen tietoliikenteen suojaamiseen. MD5-avain on vapaaehtoinen. Avainta käytettäessä sama avain tulee syöttää Bambora-palveluun. MD5-avain on hallittavissa <a href='https://merchant.bambora.com' target='_blank'>kirjautumalla Bambora-tilille</a> ja valitsemalla <b>Asetukset -> Kauppiasnumerot -> Muokkaa</b>"
"The order is placed using Bambora Checkout&#44; and is now awaiting payment.","Tilaus on lähetetty Bambora Checkout&#44; -palveluun ja odottaa maksua."
"The number identifying your Bambora merchant account. If you don't know your merchant number&#44; please <a href='https://merchant.bambora.com' target='_blank'>log into your Bambora account.</a> Go to <b>Settings -> Merchant numbers</b> to view your merchant number.","Bambora-kauppiastilin tunnus. Löydätte kauppiastilinne tunnuksen <a href='https://merchant.bambora.com' target='_blank'>kirjautumalla Bambora-tilillenne.</a> Valitkaa <b>Asetukset -> kauppiastunnukset</b> katsoaksenne kauppiastilinne tunnus."
"Set to <b>Yes</b> if you wish to capture payments at the same time they are authorized. In some countries&#44; this is only permitted if the consumer receives the products right away Ex. digital products.","Valitkaa <b>Kyllä</b> mikäli haluatte maksut veloitettavan välittömästi varmentamisen jälkeen. Joissain maissa&#44; tämä on sallittua vain mikäli asiakas vastaanottaa tuotteet välittömästi - esim. digitaalisesti toimitettavat tuotteet."
